country,continent,date,total_cases,total_deaths,population,median_age,diabetes_prevalence,latitude,longitude
Swaziland,Africa,10/26/2020,5854,116,1160164,21.5,3.94,-26.522503,31.465866
Switzerland,Europe,10/26/2020,103323,1876,8654618,43.1,5.59,46.818188,8.227512
Syria,Asia,10/26/2020,5408,269,17500657,21.7,NA,34.802075,38.996815
Taiwan,Asia,10/26/2020,550,7,23816775,42.2,NA,23.69781,120.960515
Tajikistan,Asia,10/26/2020,10776,81,9537642,23.3,7.11,38.861034,71.276093
Tanzania,Africa,10/26/2020,509,21,59734213,17.7,5.75,-6.369028,34.888822
Thailand,Asia,10/26/2020,3743,59,69799978,40.1,7.04,15.870032,100.992541
Togo,Africa,10/26/2020,2200,52,8278737,19.4,6.15,8.619543,0.824782
Trinidad and Tobago,North America,10/26/2020,5511,105,1399491,36.2,10.97,10.691803,-61.222503
Tunisia,Africa,10/26/2020,48799,819,11818618,32.7,8.52,33.886917,9.537499
Turkey,Asia,10/26/2020,361801,9799,84339067,31.6,12.13,38.963745,35.243322
Turks and Caicos Islands,North America,10/26/2020,701,6,38718,NA,NA,21.694025,-71.797928
Uganda,Africa,10/26/2020,11443,101,45741000,16.4,2.5,1.373333,32.290275
Ukraine,Europe,10/26/2020,343489,6391,43733759,41.4,7.11,48.379433,31.16558
United Arab Emirates,Asia,10/26/2020,125123,477,9890400,34,17.26,23.424076,53.847818
United Kingdom,Europe,10/26/2020,873800,44896,67886004,40.8,4.28,55.378051,-3.435973
United States,North America,10/26/2020,8636165,225230,331002647,38.3,10.79,37.09024,-95.712891
Uruguay,South America,10/26/2020,2851,53,3473727,35.6,6.93,-32.522779,-55.765835
Uzbekistan,Asia,10/26/2020,65480,550,33469199,28.2,7.57,41.377491,64.585262
Venezuela,South America,10/26/2020,89565,773,28435943,29,6.47,6.42375,-66.58973
Vietnam,Asia,10/26/2020,1168,35,97338583,32.6,6,14.058324,108.277199
Western Sahara,Africa,10/26/2020,766,1,597330,28.4,NA,24.215527,-12.885834
Yemen,Asia,10/26/2020,2064,600,29825968,20.3,5.35,15.552727,48.516388
Zambia,Africa,10/26/2020,16117,348,18383956,17.7,3.94,-13.133897,27.849332
Zimbabwe,Africa,10/26/2020,8276,237,14862927,19.6,1.82,-19.015438,29.154857
